DATE	FYGM3	FYGM6	FYGT1	FYGT2	FYGT3	FYGT5	FYGT7	FYGT10
May-81	16.3	15.29	16.2	15.46	15.08	14.63	14.3	14.1
Jun-81	14.73	14.09	14.86	14.51	14.29	13.95	13.67	13.47
Jul-81	14.95	14.74	15.72	15.35	15.15	14.79	14.49	14.28
Aug-81	15.51	15.52	16.72	16.28	16	15.56	15.22	14.94
Sep-81	14.7	14.92	16.52	16.46	16.22	15.93	15.65	15.32
Oct-81	13.54	13.82	15.38	15.54	15.5	15.41	15.33	15.15
Nov-81	10.86	11.3	12.41	12.88	13.11	13.38	13.42	13.39
Dec-81	10.85	11.52	12.85	13.29	13.66	13.6	13.62	13.72
Jan-82	12.28	12.83	14.32	14.57	14.64	14.65	14.67	14.59
Feb-82	13.48	13.61	14.73	14.82	14.73	14.54	14.46	14.43
Mar-82	12.68	12.77	13.95	14.19	14.13	13.98	13.93	13.86
Apr-82	12.7	12.8	13.98	14.2	14.18	14	13.94	13.87
May-82	12.09	12.16	13.34	13.78	13.77	13.75	13.74	13.62
Jun-82	12.47	12.7	14.07	14.47	14.48	14.43	14.47	14.3
Jul-82	11.35	11.88	13.24	13.8	14	14.07	14.07	13.95
Aug-82	8.68	9.88	11.43	12.32	12.62	13	13.14	13.06
Sep-82	7.92	9.37	10.85	11.78	12.03	12.25	12.36	12.34
Oct-82	7.71	8.29	9.32	10.19	10.62	10.8	10.88	10.91
Nov-82	8.07	8.34	9.16	9.8	9.98	10.38	10.53	10.55
Dec-82	7.94	8.16	8.91	9.66	9.88	10.22	10.49	10.54
Jan-83	7.86	7.93	8.62	9.33	9.64	10.03	10.36	10.46
Feb-83	8.11	8.23	8.92	9.64	9.91	10.26	10.56	10.72
Mar-83	8.35	8.37	9.04	9.66	9.84	10.08	10.31	10.51
Apr-83	8.21	8.3	8.98	9.57	9.76	10.02	10.29	10.4
May-83	8.19	8.22	8.9	9.49	9.66	10.03	10.3	10.38
Jun-83	8.79	8.89	9.66	10.18	10.32	10.63	10.83	10.85
Jul-83	9.08	9.26	10.2	10.69	10.9	11.21	11.35	11.38
Aug-83	9.34	9.51	10.53	11.07	11.3	11.63	11.77	11.85
Sep-83	9	9.15	10.16	10.79	11.07	11.43	11.61	11.65
Oct-83	8.64	8.83	9.81	10.57	10.87	11.28	11.47	11.54
Nov-83	8.76	8.93	9.94	10.66	10.96	11.41	11.61	11.69
Dec-83	9	9.17	10.11	10.84	11.13	11.54	11.78	11.83
Jan-84	8.9	9.01	9.9	10.64	10.93	11.37	11.58	11.67
Feb-84	9.09	9.18	10.04	10.79	11.05	11.54	11.75	11.84
Mar-84	9.52	9.66	10.59	11.31	11.59	12.02	12.25	12.32
Apr-84	9.69	9.84	10.9	11.69	11.98	12.37	12.56	12.63
May-84	9.83	10.31	11.66	12.47	12.75	13.17	13.34	13.41
Jun-84	9.87	10.51	12.08	12.91	13.18	13.48	13.56	13.56
Jul-84	10.12	10.52	12.03	12.88	13.08	13.27	13.35	13.36
Aug-84	10.47	10.61	11.82	12.43	12.5	12.68	12.75	12.72
Sep-84	10.37	10.47	11.58	12.2	12.34	12.53	12.6	12.52
Oct-84	9.74	9.87	10.9	11.6	11.85	12.06	12.16	12.16
Nov-84	8.61	8.81	9.82	10.65	10.9	11.33	11.49	11.57
Dec-84	8.06	8.28	9.33	10.18	10.56	11.07	11.45	11.5
Jan-85	7.76	8	9.02	9.93	10.43	10.93	11.27	11.38
Feb-85	8.27	8.39	9.29	10.17	10.55	11.13	11.44	11.51
Mar-85	8.52	8.9	9.86	10.71	11.05	11.52	11.82	11.86
Apr-85	7.95	8.23	9.14	10.09	10.49	11.01	11.34	11.43
May-85	7.48	7.65	8.46	9.39	9.75	10.34	10.72	10.85
Jun-85	6.95	7.09	7.8	8.69	9.05	9.6	10.08	10.16
Jul-85	7.08	7.2	7.86	8.77	9.18	9.7	10.16	10.31
Aug-85	7.14	7.32	8.05	8.94	9.31	9.81	10.2	10.33
Sep-85	7.1	7.27	8.07	8.98	9.37	9.81	10.24	10.37
Oct-85	7.16	7.33	8.01	8.86	9.25	9.69	10.11	10.24
Nov-85	7.24	7.3	7.88	8.58	8.88	9.28	9.62	9.78
Dec-85	7.1	7.14	7.67	8.15	8.4	8.73	9.11	9.26
Jan-86	7.07	7.16	7.73	8.14	8.41	8.68	9.03	9.19
Feb-86	7.06	7.11	7.61	7.97	8.1	8.34	8.58	8.7
Mar-86	6.56	6.57	7.03	7.21	7.3	7.46	7.67	7.78
Apr-86	6.06	6.08	6.44	6.7	6.86	7.05	7.16	7.3
May-86	6.15	6.19	6.65	7.07	7.27	7.52	7.65	7.71
Jun-86	6.21	6.27	6.73	7.18	7.41	7.64	7.75	7.8
Jul-86	5.83	5.86	6.27	6.67	6.86	7.06	7.22	7.3
Aug-86	5.53	5.55	5.93	6.33	6.49	6.8	7.01	7.17
Sep-86	5.21	5.35	5.77	6.35	6.62	6.92	7.28	7.45
Oct-86	5.18	5.26	5.72	6.28	6.56	6.83	7.24	7.43
Nov-86	5.35	5.41	5.8	6.28	6.46	6.76	7.08	7.25
Dec-86	5.53	5.55	5.87	6.27	6.43	6.67	6.97	7.11
Jan-87	5.43	5.44	5.78	6.23	6.41	6.64	6.92	7.08
Feb-87	5.59	5.59	5.96	6.4	6.56	6.79	7.06	7.25
Mar-87	5.59	5.6	6.03	6.42	6.58	6.79	7.06	7.25
Apr-87	5.64	5.9	6.5	7.02	7.32	7.57	7.83	8.02
May-87	5.66	6.05	7	7.76	8.02	8.26	8.47	8.61
Jun-87	5.67	5.99	6.8	7.57	7.82	8.02	8.27	8.4
Jul-87	5.69	5.76	6.68	7.44	7.74	8.01	8.27	8.45
Aug-87	6.04	6.15	7.03	7.75	8.03	8.32	8.59	8.76
Sep-87	6.4	6.64	7.67	8.34	8.67	8.94	9.26	9.42
Oct-87	6.13	6.69	7.59	8.4	8.75	9.08	9.37	9.52
Nov-87	5.69	6.19	6.96	7.69	7.99	8.35	8.69	8.86
Dec-87	5.77	6.36	7.17	7.86	8.13	8.45	8.82	8.99
Jan-88	5.81	6.25	6.99	7.63	7.87	8.18	8.48	8.67
Feb-88	5.66	5.93	6.64	7.18	7.38	7.71	8.02	8.21
Mar-88	5.7	5.91	6.71	7.27	7.5	7.83	8.19	8.37
Apr-88	5.91	6.21	7.01	7.59	7.83	8.19	8.52	8.72
May-88	6.26	6.56	7.4	8	8.24	8.58	8.89	9.09
Jun-88	6.46	6.71	7.49	8.03	8.22	8.49	8.78	8.92
Jul-88	6.73	6.99	7.75	8.28	8.44	8.66	8.91	9.06
Aug-88	7.06	7.39	8.17	8.63	8.77	8.94	9.13	9.26
Sep-88	7.24	7.43	8.09	8.46	8.57	8.69	8.87	8.98
Oct-88	7.35	7.5	8.11	8.35	8.43	8.51	8.69	8.8
Nov-88	7.76	7.86	8.48	8.67	8.72	8.79	8.89	8.96
Dec-88	8.07	8.22	8.99	9.09	9.11	9.09	9.13	9.11
Jan-89	8.27	8.36	9.05	9.18	9.2	9.15	9.14	9.09
Feb-89	8.53	8.55	9.25	9.37	9.32	9.27	9.23	9.17
Mar-89	8.82	8.85	9.57	9.68	9.61	9.51	9.43	9.36
Apr-89	8.65	8.65	9.36	9.45	9.4	9.3	9.24	9.18
May-89	8.43	8.41	8.98	9.02	8.98	8.91	8.88	8.86
Jun-89	8.15	7.93	8.44	8.41	8.37	8.29	8.31	8.28
Jul-89	7.88	7.61	7.89	7.82	7.83	7.83	7.94	8.02
Aug-89	7.9	7.74	8.18	8.14	8.13	8.09	8.11	8.11
Sep-89	7.75	7.74	8.22	8.28	8.26	8.17	8.23	8.19
Oct-89	7.64	7.62	7.99	7.98	8.02	7.97	8.03	8.01
Nov-89	7.69	7.49	7.77	7.8	7.8	7.81	7.86	7.87
Dec-89	7.63	7.42	7.72	7.78	7.77	7.75	7.85	7.84
Jan-90	7.64	7.55	7.92	8.09	8.13	8.12	8.2	8.21
Feb-90	7.74	7.7	8.11	8.37	8.39	8.42	8.48	8.47
Mar-90	7.9	7.85	8.35	8.63	8.63	8.6	8.65	8.59
Apr-90	7.77	7.84	8.4	8.72	8.78	8.77	8.81	8.79
May-90	7.74	7.76	8.32	8.64	8.69	8.74	8.78	8.76
Jun-90	7.73	7.63	8.1	8.35	8.4	8.43	8.52	8.48
Jul-90	7.62	7.52	7.94	8.16	8.26	8.33	8.46	8.47
Aug-90	7.45	7.38	7.78	8.06	8.22	8.44	8.64	8.75
Sep-90	7.36	7.32	7.76	8.08	8.27	8.51	8.79	8.89
Oct-90	7.17	7.16	7.55	7.88	8.07	8.33	8.59	8.72
Nov-90	7.06	7.03	7.31	7.6	7.74	8.02	8.28	8.39
Dec-90	6.74	6.7	7.05	7.31	7.47	7.73	8	8.08
Jan-91	6.22	6.28	6.64	7.13	7.38	7.7	7.97	8.09
Feb-91	5.94	5.93	6.27	6.87	7.08	7.47	7.73	7.85
Mar-91	5.91	5.92	6.4	7.1	7.35	7.77	8	8.11
Apr-91	5.65	5.71	6.24	6.95	7.23	7.7	7.92	8.04
May-91	5.46	5.61	6.13	6.78	7.12	7.7	7.94	8.07
Jun-91	5.57	5.75	6.36	6.96	7.39	7.94	8.17	8.28
Jul-91	5.58	5.7	6.31	6.92	7.38	7.91	8.15	8.27
Aug-91	5.33	5.39	5.78	6.43	6.8	7.43	7.74	7.9
Sep-91	5.22	5.25	5.57	6.18	6.5	7.14	7.48	7.65
Oct-91	4.99	5.04	5.33	5.91	6.23	6.87	7.25	7.53
Nov-91	4.56	4.61	4.89	5.56	5.9	6.62	7.06	7.42
Dec-91	4.07	4.1	4.38	5.03	5.39	6.19	6.69	7.09
Jan-92	3.8	3.87	4.15	4.96	5.4	6.24	6.7	7.03
Feb-92	3.84	3.93	4.29	5.21	5.72	6.58	6.96	7.34
Mar-92	4.04	4.18	4.63	5.69	6.18	6.95	7.26	7.54
Apr-92	3.75	3.87	4.3	5.34	5.93	6.78	7.15	7.48
May-92	3.63	3.75	4.19	5.23	5.81	6.69	7.06	7.39
Jun-92	3.66	3.77	4.17	5.05	5.6	6.48	6.9	7.26
Jul-92	3.21	3.28	3.6	4.36	4.91	5.84	6.36	6.84
Aug-92	3.13	3.21	3.47	4.19	4.72	5.6	6.12	6.59
Sep-92	2.91	2.96	3.18	3.89	4.42	5.38	5.96	6.42
Oct-92	2.86	3.04	3.3	4.08	4.64	5.6	6.15	6.59
Nov-92	3.13	3.34	3.68	4.58	5.14	6.04	6.49	6.87
Dec-92	3.22	3.36	3.71	4.67	5.21	6.08	6.46	6.77
Jan-93	3	3.14	3.5	4.39	4.93	5.83	6.26	6.6
Feb-93	2.93	3.07	3.39	4.1	4.58	5.43	5.87	6.26
Mar-93	2.95	3.05	3.33	3.95	4.4	5.19	5.66	5.98
Apr-93	2.87	2.97	3.24	3.84	4.3	5.13	5.59	5.97
May-93	2.96	3.07	3.36	3.98	4.4	5.2	5.66	6.04
Jun-93	3.07	3.2	3.54	4.16	4.53	5.22	5.61	5.96
Jul-93	3.04	3.16	3.47	4.07	4.43	5.09	5.48	5.81
Aug-93	3.02	3.14	3.44	4	4.36	5.03	5.35	5.68
Sep-93	2.95	3.06	3.36	3.85	4.17	4.73	5.08	5.36
Oct-93	3.02	3.12	3.39	3.87	4.18	4.71	5.05	5.33
Nov-93	3.1	3.26	3.58	4.16	4.5	5.06	5.45	5.72
Dec-93	3.06	3.23	3.61	4.21	4.54	5.15	5.48	5.77
Jan-94	2.98	3.15	3.54	4.14	4.48	5.09	5.43	5.75
Feb-94	3.25	3.43	3.87	4.47	4.83	5.4	5.72	5.97
Mar-94	3.5	3.78	4.32	5	5.4	5.94	6.28	6.48
Apr-94	3.68	4.09	4.82	5.55	5.99	6.52	6.8	6.97
May-94	4.14	4.6	5.31	5.97	6.34	6.78	7.01	7.18
Jun-94	4.14	4.55	5.27	5.93	6.27	6.7	6.91	7.1
Jul-94	4.33	4.75	5.48	6.13	6.48	6.91	7.12	7.3
Aug-94	4.48	4.88	5.56	6.18	6.5	6.88	7.06	7.24
Sep-94	4.62	5.04	5.76	6.39	6.69	7.08	7.28	7.46
Oct-94	4.95	5.39	6.11	6.73	7.04	7.4	7.58	7.74
Nov-94	5.29	5.72	6.54	7.15	7.44	7.72	7.83	7.96
Dec-94	5.6	6.21	7.14	7.59	7.71	7.78	7.8	7.81
Jan-95	5.71	6.21	7.05	7.51	7.66	7.76	7.79	7.78
Feb-95	5.77	6.03	6.7	7.11	7.25	7.37	7.44	7.47
Mar-95	5.73	5.89	6.43	6.78	6.89	7.05	7.14	7.2
Apr-95	5.65	5.77	6.27	6.57	6.68	6.86	6.95	7.06
May-95	5.67	5.67	6	6.17	6.27	6.41	6.5	6.63
Jun-95	5.47	5.42	5.64	5.72	5.8	5.93	6.05	6.17
Jul-95	5.42	5.37	5.59	5.78	5.89	6.01	6.2	6.28
Aug-95	5.4	5.41	5.75	5.98	6.1	6.24	6.41	6.49
Sep-95	5.28	5.3	5.62	5.81	5.89	6	6.13	6.2
Oct-95	5.28	5.32	5.59	5.7	5.77	5.86	5.97	6.04
Nov-95	5.36	5.27	5.43	5.48	5.57	5.69	5.83	5.93
Dec-95	5.14	5.13	5.31	5.32	5.39	5.51	5.63	5.71
Jan-96	5	4.92	5.09	5.11	5.2	5.36	5.54	5.65
Feb-96	4.83	4.77	4.94	5.03	5.14	5.38	5.64	5.81
Mar-96	4.96	4.96	5.34	5.66	5.79	5.97	6.19	6.27
Apr-96	4.95	5.06	5.54	5.96	6.11	6.3	6.48	6.51
May-96	5.02	5.12	5.64	6.1	6.27	6.48	6.66	6.74
Jun-96	5.09	5.25	5.81	6.3	6.49	6.69	6.83	6.91
Jul-96	5.15	5.3	5.85	6.27	6.45	6.64	6.76	6.87
Aug-96	5.05	5.13	5.67	6.03	6.21	6.39	6.52	6.64
Sep-96	5.09	5.24	5.83	6.23	6.41	6.6	6.73	6.83
Oct-96	4.99	5.11	5.55	5.91	6.08	6.27	6.42	6.53
Nov-96	5.03	5.07	5.42	5.7	5.82	5.97	6.1	6.2
Dec-96	4.91	5.04	5.47	5.78	5.91	6.07	6.2	6.3
Jan-97	5.03	5.1	5.61	6.01	6.16	6.33	6.47	6.58
Feb-97	5.01	5.06	5.53	5.9	6.03	6.2	6.32	6.42
Mar-97	5.14	5.26	5.8	6.22	6.38	6.54	6.65	6.69
Apr-97	5.16	5.37	5.99	6.45	6.61	6.76	6.86	6.89
May-97	5.05	5.3	5.87	6.28	6.42	6.57	6.66	6.71
Jun-97	4.93	5.13	5.69	6.09	6.24	6.38	6.46	6.49
Jul-97	5.05	5.12	5.54	5.89	6	6.12	6.2	6.22
Aug-97	5.14	5.19	5.56	5.94	6.06	6.16	6.29	6.3
Sep-97	4.95	5.09	5.52	5.88	5.98	6.11	6.2	6.21
Oct-97	4.97	5.09	5.46	5.77	5.84	5.93	6.05	6.03
Nov-97	5.14	5.17	5.46	5.71	5.76	5.8	5.9	5.88
Dec-97	5.16	5.24	5.53	5.72	5.74	5.77	5.83	5.81
Jan-98	5.04	5.03	5.24	5.36	5.38	5.42	5.53	5.54
Feb-98	5.09	5.07	5.31	5.42	5.43	5.49	5.6	5.57
Mar-98	5.03	5.04	5.39	5.56	5.57	5.61	5.71	5.65
Apr-98	4.95	5.06	5.38	5.56	5.58	5.61	5.7	5.64
May-98	5	5.14	5.44	5.59	5.61	5.63	5.72	5.65
Jun-98	4.98	5.12	5.41	5.52	5.52	5.52	5.56	5.5
Jul-98	4.96	5.03	5.36	5.46	5.47	5.46	5.52	5.46
Aug-98	4.9	4.95	5.21	5.27	5.24	5.27	5.36	5.34
Sep-98	4.61	4.63	4.71	4.67	4.62	4.62	4.76	4.81
Oct-98	3.96	4.05	4.12	4.09	4.18	4.18	4.46	4.53
Nov-98	4.41	4.42	4.53	4.54	4.57	4.54	4.78	4.83
Dec-98	4.39	4.4	4.52	4.51	4.48	4.45	4.65	4.65
Jan-99	4.34	4.33	4.51	4.62	4.61	4.6	4.8	4.72
Feb-99	4.44	4.44	4.7	4.88	4.9	4.91	5.1	5
Mar-99	4.44	4.47	4.78	5.05	5.11	5.14	5.36	5.23
Apr-99	4.29	4.37	4.69	4.98	5.03	5.08	5.28	5.18
May-99	4.5	4.56	4.85	5.25	5.33	5.44	5.64	5.54
Jun-99	4.57	4.82	5.1	5.62	5.7	5.81	6.05	5.9
Jul-99	4.55	4.58	5.03	5.55	5.62	5.68	5.94	5.79
Aug-99	4.72	4.87	5.2	5.68	5.77	5.84	6.15	5.94
Sep-99	4.68	4.88	5.25	5.66	5.75	5.8	6.12	5.92
Oct-99	4.86	4.98	5.43	5.86	5.94	6.03	6.33	6.11
Nov-99	5.07	5.2	5.55	5.86	5.92	5.97	6.17	6.03
Dec-99	5.2	5.44	5.84	6.1	6.14	6.19	6.38	6.28
Jan-00	5.32	5.5	6.12	6.44	6.49	6.58	6.7	6.66
Feb-00	5.55	5.72	6.22	6.61	6.65	6.68	6.72	6.52
Mar-00	5.69	5.85	6.22	6.53	6.53	6.5	6.51	6.26
Apr-00	5.66	5.81	6.15	6.4	6.36	6.26	6.27	5.99
May-00	5.79	6.1	6.33	6.81	6.77	6.69	6.69	6.44
Jun-00	5.69	5.97	6.17	6.48	6.43	6.3	6.33	6.1
Jul-00	5.96	6	6.08	6.34	6.28	6.18	6.22	6.05
Aug-00	6.09	6.07	6.18	6.23	6.17	6.06	6.05	5.83
Sep-00	6	5.98	6.13	6.08	6.02	5.93	5.98	5.8
Oct-00	6.11	6.04	6.01	5.91	5.85	5.78	5.84	5.74
Nov-00	6.17	6.06	6.09	5.88	5.79	5.7	5.78	5.72
Dec-00	5.77	5.68	5.6	5.35	5.26	5.17	5.28	5.24
Jan-01	5.15	4.95	4.81	4.76	4.77	4.86	5.13	5.16
Feb-01	4.88	4.71	4.68	4.66	4.71	4.89	5.1	5.1
Mar-01	4.42	4.28	4.3	4.34	4.43	4.64	4.88	4.89
Apr-01	3.87	3.85	3.98	4.23	4.42	4.76	5.03	5.14
May-01	3.62	3.62	3.78	4.26	4.51	4.93	5.24	5.39
Jun-01	3.49	3.45	3.58	4.08	4.35	4.81	5.14	5.28
Jul-01	3.51	3.45	3.62	4.04	4.31	4.76	5.06	5.24
Aug-01	3.36	3.29	3.47	3.76	4.04	4.57	4.84	4.97
Sep-01	2.64	2.63	2.82	3.12	3.45	4.12	4.51	4.73
Oct-01	2.16	2.12	2.33	2.73	3.14	3.91	4.31	4.57
Nov-01	1.87	1.88	2.18	2.78	3.22	3.97	4.42	4.65
Dec-01	1.69	1.78	2.22	3.11	3.62	4.39	4.86	5.09
Jan-02	1.65	1.73	2.16	3.03	3.56	4.34	4.79	5.04
Feb-02	1.73	1.82	2.23	3.02	3.55	4.3	4.71	4.91
Mar-02	1.79	2.01	2.57	3.56	4.14	4.74	5.14	5.28
Apr-02	1.72	1.93	2.48	3.42	4.01	4.65	5.02	5.21
May-02	1.73	1.86	2.35	3.26	3.8	4.49	4.9	5.16
Jun-02	1.7	1.79	2.2	2.99	3.49	4.19	4.6	4.93
Jul-02	1.68	1.7	1.96	2.56	3.01	3.81	4.3	4.65
Aug-02	1.62	1.6	1.76	2.13	2.52	3.29	3.88	4.26
Sep-02	1.63	1.6	1.72	2	2.32	2.94	3.5	3.87
Oct-02	1.58	1.56	1.65	1.91	2.25	2.95	3.54	3.94
Nov-02	1.23	1.27	1.49	1.92	2.32	3.05	3.64	4.05
Dec-02	1.19	1.24	1.45	1.84	2.23	3.03	3.63	4.03
Jan-03	1.17	1.2	1.36	1.74	2.18	3.05	3.6	4.05
Feb-03	1.17	1.18	1.3	1.63	2.05	2.9	3.45	3.9
Mar-03	1.13	1.13	1.24	1.57	1.98	2.78	3.34	3.81
Apr-03	1.13	1.14	1.27	1.62	2.06	2.93	3.47	3.96
May-03	1.07	1.08	1.18	1.42	1.75	2.52	3.07	3.57
Jun-03	0.92	0.92	1.01	1.23	1.51	2.27	2.84	3.33
Jul-03	0.9	0.95	1.12	1.47	1.93	2.87	3.45	3.98
Aug-03	0.95	1.03	1.31	1.86	2.44	3.37	3.96	4.45
Sep-03	0.94	1.01	1.24	1.71	2.23	3.18	3.74	4.27
Oct-03	0.92	1	1.25	1.75	2.26	3.19	3.75	4.29
Nov-03	0.93	1.02	1.34	1.93	2.45	3.29	3.81	4.3
Dec-03	0.9	0.99	1.31	1.91	2.44	3.27	3.79	4.27
Jan-04	0.88	0.97	1.24	1.76	2.27	3.12	3.65	4.15
Feb-04	0.93	0.99	1.24	1.74	2.25	3.07	3.59	4.08
Mar-04	0.94	0.99	1.19	1.58	2	2.79	3.31	3.83
Apr-04	0.94	1.09	1.43	2.07	2.57	3.39	3.89	4.35
May-04	1.02	1.31	1.78	2.53	3.1	3.85	4.31	4.72
Jun-04	1.27	1.6	2.12	2.76	3.26	3.93	4.35	4.73
Jul-04	1.33	1.66	2.1	2.64	3.05	3.69	4.11	4.5
Aug-04	1.48	1.72	2.02	2.51	2.88	3.47	3.9	4.28
Sep-04	1.65	1.87	2.12	2.53	2.83	3.36	3.75	4.13
Oct-04	1.76	2	2.23	2.58	2.85	3.35	3.75	4.1
Nov-04	2.07	2.27	2.5	2.85	3.09	3.53	3.88	4.19
Dec-04	2.19	2.43	2.67	3.01	3.21	3.6	3.93	4.23
Jan-05	2.33	2.61	2.86	3.22	3.39	3.71	3.97	4.22
Feb-05	2.54	2.77	3.03	3.38	3.54	3.77	3.97	4.17
Mar-05	2.74	3	3.3	3.73	3.91	4.17	4.33	4.5
Apr-05	2.78	3.05	3.32	3.65	3.79	4	4.16	4.34
May-05	2.84	3.08	3.33	3.64	3.72	3.85	3.94	4.14
Jun-05	2.97	3.13	3.36	3.64	3.69	3.77	3.86	4
Jul-05	3.22	3.42	3.64	3.87	3.91	3.98	4.06	4.18
Aug-05	3.44	3.66	3.87	4.04	4.08	4.12	4.18	4.26
Sep-05	3.42	3.67	3.85	3.95	3.96	4.01	4.08	4.2
Oct-05	3.71	3.99	4.18	4.27	4.29	4.33	4.38	4.46
Nov-05	3.88	4.15	4.33	4.42	4.43	4.45	4.48	4.54
Dec-05	3.89	4.18	4.35	4.4	4.39	4.39	4.41	4.47
Jan-06	4.24	4.31	4.45	4.4	4.35	4.35	4.37	4.42
Feb-06	4.43	4.52	4.68	4.67	4.64	4.57	4.56	4.57
Mar-06	4.51	4.62	4.77	4.73	4.74	4.72	4.71	4.72
Apr-06	4.6	4.72	4.9	4.89	4.89	4.9	4.94	4.99
May-06	4.72	4.82	5	4.97	4.97	5	5.03	5.11
Jun-06	4.79	4.97	5.16	5.12	5.09	5.07	5.08	5.11
Jul-06	4.95	5.06	5.22	5.12	5.07	5.04	5.05	5.09
Aug-06	4.96	4.97	5.08	4.9	4.85	4.82	4.83	4.88
Sep-06	4.81	4.89	4.97	4.77	4.69	4.67	4.68	4.72
Oct-06	4.92	4.92	5.01	4.8	4.72	4.69	4.69	4.73
Nov-06	4.94	4.95	5.01	4.74	4.64	4.58	4.58	4.6
Dec-06	4.85	4.88	4.94	4.67	4.58	4.53	4.54	4.56
