No NAME  	GMS  	PTS  	REB   	AST  	TO  	A/T  	STL  	BLK  	PF  	FG  	FT  	3P
26. Vermont	2	60.5	35.5	9.5	12.5	0.76	7.0	0.0	15.5	.341	.760	.326
27. Pacific	2	79.0	33.0	14.0	10.0	1.40	3.0	1.0	18.0	.459	.700	.409
28. MississippiState	2	74.0	39.0	11.0	9.5	1.16	5.0	5.5	19.0	.437	.660	.433
29. Bucknell	2	63.0	29.5	15.0	9.5	1.58	7.0	1.5	22.5	.429	.767	.283
30. Cincinnati	2	68.0	36.5	14.0	9.0	1.56	4.5	6.0	19.0	.398	.634	.364
31. Gonzaga	2	71.5	42.0	13.5	11.5	1.17	3.5	3.0	15.5	.463	.600	.241
32. Nevada	2	60.0	40.5	10.5	11.0	0.95	7.0	4.0	15.5	.371	.651	.261
33. Oakland	2	73.5	32.5	13.0	13.5	0.96	5.5	1.0	15.0	.470	.684	.433
34. Stanford	1	70.0	30.0	9.0	5.0	1.80	6.0	3.0	19.0	.381	.720	.222
35. UCLA	1	66.0	27.0	16.0	13.0	1.23	5.0	2.0	15.0	.433	.533	.300
36. GeorgeWashington	1	68.0	34.0	19.0	14.0	1.36	9.0	4.0	20.0	.446	.250	.375
37. LSU	1	68.0	42.0	10.0	21.0	0.48	6.0	5.0	26.0	.359	.727	.194
38. Minnesota	1	53.0	41.0	8.0	17.0	0.47	9.0	1.0	18.0	.333	.600	.217
39. Montana	1	77.0	33.0	15.0	18.0	0.83	5.0	0.0	16.0	.508	.250	.450
40. Creighton	1	61.0	27.0	12.0	17.0	0.71	8.0	3.0	16.0	.420	.846	.400
41. FairleighDickinson	1	55.0	42.0	11.0	17.0	0.65	6.0	3.0	19.0	.404	.455	.250
42. NewMexico	1	47.0	35.0	6.0	17.0	0.35	9.0	4.0	20.0	.298	.750	.160
43. Syracuse	1	57.0	37.0	8.0	24.0	0.33	9.0	3.0	12.0	.418	.889	.250
44. Ohio	1	62.0	33.0	8.0	20.0	0.40	8.0	5.0	21.0	.391	.654	.500
45. Pennsylvania	1	65.0	34.0	17.0	17.0	1.00	11.0	2.0	19.0	.352	.500	.333
46. Pittsburgh	1	71.0	30.0	10.0	10.0	1.00	7.0	3.0	20.0	.424	.722	.348
47. Chattanooga	1	54.0	35.0	12.0	22.0	0.55	5.0	1.0	19.0	.404	.667	.300
48. Texas	1	57.0	40.0	2.0	5.0	0.40	5.0	6.0	16.0	.353	.667	.500
49. OldDominion	1	81.0	30.0	13.0	15.0	0.87	9.0	1.0	29.0	.426	.846	.350
50. Louisiana-Lafayette	1	62.0	37.0	14.0	18.0	0.78	7.0	0.0	21.0	.453	.556	.333
51. Niagara	1	67.0	37.0	12.0	16.0	0.75	8.0	2.0	16.0	.353	.867	.214
52. UtahState	1	53.0	32.0	15.0	12.0	1.25	6.0	3.0	16.0	.364	.600	.368
53. Alabama	1	73.0	34.0	17.0	19.0	0.89	3.0	3.0	20.0	.520	.750	.391
54. UCF	1	71.0	29.0	16.0	10.0	1.60	10.0	6.0	21.0	.344	.857	.393
55. DelawareState	1	46.0	30.0	10.0	11.0	0.91	3.0	1.0	23.0	.365	.500	.333
56. EasternKentucky	1	64.0	35.0	14.0	17.0	0.82	5.0	1.0	20.0	.441	.545	.333
57. Iowa	1	64.0	43.0	5.0	11.0	0.45	6.0	1.0	20.0	.339	.760	.294
58. Kansas	1	63.0	34.0	14.0	13.0	1.08	5.0	3.0	15.0	.435	.815	.091
59. Charlotte	1	63.0	36.0	11.0	20.0	0.55	8.0	2.0	18.0	.397	.643	.381
60. NorthernIowa	1	52.0	35.0	8.0	8.0	1.00	4.0	2.0	15.0	.415	.500	.235
61. SoutheasternLouisiana	1	50.0	19.0	10.0	17.0	0.59	12.0	2.0	22.0	.444	.700	.300
62. SaintMary's	1	56.0	42.0	3.0	20.0	0.15	2.0	2.0	17.0	.333	.818	.200
63. UTEP	1	54.0	22.0	13.0	10.0	1.30	6.0	1.0	20.0	.415	.889	.222
64. Winthrop	1	64.0	36.0	16.0	13.0	1.23	4.0	0.0	19.0	.367	.833	.385
